               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.019056,           0.0071397,           0.0012689,             0.97168,             0.94899,             0.96941,             0.74643,            0.017117,           0.0043745,           0.0013408,           0.0047639,           0.0047639,           0.0047639
                  62,            0.019176,           0.0068512,           0.0013468,             0.96888,             0.97442,             0.98032,             0.76068,            0.016274,           0.0043121,           0.0011679,            0.004645,            0.004645,            0.004645
                  63,            0.018154,           0.0069597,           0.0012151,             0.97977,             0.93306,             0.96434,             0.77139,             0.01626,           0.0043996,           0.0012294,           0.0045275,           0.0045275,           0.0045275
                  64,            0.018545,           0.0071376,           0.0015653,             0.99017,             0.91594,             0.97217,             0.78158,             0.01653,           0.0044194,            0.001184,           0.0044114,           0.0044114,           0.0044114
                  65,            0.018175,           0.0070094,           0.0013211,             0.99279,             0.93026,             0.97626,             0.76807,            0.015922,           0.0042153,           0.0012411,           0.0042969,           0.0042969,           0.0042969
                  66,             0.01806,           0.0072035,            0.001227,             0.99376,             0.92567,               0.968,             0.76044,            0.016771,           0.0044227,           0.0013378,            0.004184,            0.004184,            0.004184
                  67,            0.016468,           0.0065299,           0.0010648,             0.98269,             0.95421,             0.98263,             0.76514,            0.016462,           0.0042656,           0.0012856,            0.004073,            0.004073,            0.004073
                  68,            0.017131,           0.0067359,           0.0011211,              0.9805,             0.93727,             0.97665,             0.76969,            0.015816,           0.0041659,           0.0011466,           0.0039638,           0.0039638,           0.0039638
                  69,            0.016494,           0.0067368,           0.0010173,              0.9781,             0.93551,             0.95124,             0.76532,            0.015198,           0.0040464,             0.00131,           0.0038567,           0.0038567,           0.0038567
                  70,            0.016369,            0.006754,           0.0010856,             0.98151,             0.94585,             0.95458,             0.78092,            0.015446,            0.004059,           0.0012252,           0.0037517,           0.0037517,           0.0037517
                  71,             0.01593,           0.0066289,          0.00095984,             0.99228,             0.92461,             0.95216,             0.78632,            0.015602,           0.0040898,           0.0012686,           0.0036489,           0.0036489,           0.0036489
                  72,            0.015417,           0.0065508,           0.0011423,             0.99129,             0.92596,             0.95594,             0.78172,            0.014568,           0.0041087,           0.0013195,           0.0035484,           0.0035484,           0.0035484
                  73,            0.015765,           0.0065542,           0.0010173,             0.99336,             0.92509,             0.95345,             0.78742,            0.014722,           0.0039957,           0.0011417,           0.0034503,           0.0034503,           0.0034503
                  74,            0.015349,           0.0064166,          0.00099253,             0.99024,             0.94171,             0.95404,             0.76129,            0.015279,           0.0040409,           0.0010774,           0.0033548,           0.0033548,           0.0033548
                  75,            0.015344,           0.0062118,          0.00085791,             0.99293,             0.92698,             0.95378,             0.76918,            0.015277,           0.0042424,            0.001131,           0.0032618,           0.0032618,           0.0032618
                  76,            0.014871,           0.0065203,          0.00087626,             0.95562,             0.94692,             0.96461,             0.79381,            0.015008,           0.0040474,           0.0011436,           0.0031716,           0.0031716,           0.0031716
                  77,             0.01459,            0.005964,          0.00088375,             0.95937,             0.97909,             0.98206,             0.78446,            0.015003,           0.0040729,           0.0011572,           0.0030841,           0.0030841,           0.0030841
                  78,            0.015043,           0.0063109,          0.00084817,             0.97486,             0.92415,             0.95481,             0.77699,            0.014525,           0.0042255,           0.0010208,           0.0029996,           0.0029996,           0.0029996
                  79,            0.014007,           0.0059807,          0.00082804,             0.98885,               0.911,             0.95036,             0.80173,            0.014227,           0.0042618,          0.00098816,           0.0029179,           0.0029179,           0.0029179
                  80,            0.013567,           0.0062126,           0.0007569,             0.97221,             0.92413,             0.96467,             0.79975,            0.014757,           0.0041022,           0.0013309,           0.0028394,           0.0028394,           0.0028394
                  81,            0.013603,           0.0060934,          0.00083914,             0.99841,             0.93202,             0.97611,             0.78554,            0.014745,           0.0042611,           0.0011168,           0.0027639,           0.0027639,           0.0027639
                  82,             0.01364,           0.0057064,          0.00076823,             0.98093,             0.91097,             0.94977,             0.76942,            0.015326,           0.0042681,           0.0010853,           0.0026917,           0.0026917,           0.0026917
                  83,            0.013839,           0.0059403,          0.00076136,              0.9773,             0.95032,             0.97428,             0.80077,            0.014199,           0.0040054,            0.001111,           0.0026227,           0.0026227,           0.0026227
                  84,            0.013609,           0.0058687,            0.000711,             0.98265,             0.91109,             0.97282,             0.79795,            0.014329,           0.0039837,           0.0010203,            0.002557,            0.002557,            0.002557
                  85,            0.013651,           0.0060669,          0.00073876,              0.9705,              0.9349,             0.96141,             0.78781,            0.014137,           0.0039239,           0.0010576,           0.0024948,           0.0024948,           0.0024948
                  86,            0.013571,           0.0059917,          0.00071641,             0.99311,             0.92917,             0.97199,             0.79958,            0.014229,           0.0039243,           0.0010183,            0.002436,            0.002436,            0.002436
                  87,            0.013192,           0.0061888,          0.00070176,             0.99915,             0.92869,             0.97856,               0.802,            0.014024,           0.0039515,          0.00091645,           0.0023807,           0.0023807,           0.0023807
                  88,            0.013494,           0.0058296,          0.00061401,             0.98455,             0.92413,               0.957,              0.7807,            0.014356,           0.0040622,           0.0009523,            0.002329,            0.002329,            0.002329
                  89,            0.012909,            0.005761,          0.00063404,             0.98899,             0.92412,             0.96253,             0.78444,            0.013982,           0.0040349,           0.0011101,           0.0022809,           0.0022809,           0.0022809
                  90,            0.013102,           0.0059248,           0.0005841,             0.96838,             0.94275,             0.95615,             0.77269,            0.014116,           0.0040545,           0.0010655,           0.0022365,           0.0022365,           0.0022365
                  91,            0.013135,           0.0056676,          0.00066429,             0.99164,               0.911,             0.95382,             0.77549,            0.014404,            0.004048,           0.0010444,           0.0021958,           0.0021958,           0.0021958
                  92,            0.012417,           0.0056243,          0.00060832,             0.99571,             0.91352,             0.95262,             0.76726,            0.014079,           0.0041148,           0.0010628,           0.0021588,           0.0021588,           0.0021588
                  93,            0.012719,           0.0058583,          0.00063672,             0.95461,             0.94859,             0.95578,             0.77313,            0.014448,           0.0040433,          0.00088732,           0.0021257,           0.0021257,           0.0021257
                  94,            0.012682,           0.0056207,          0.00066563,             0.99436,             0.92723,             0.95748,             0.77447,            0.014503,            0.003961,          0.00082181,           0.0020963,           0.0020963,           0.0020963
                  95,            0.012789,           0.0057978,          0.00062165,             0.98236,             0.92413,             0.95463,             0.78882,            0.014074,           0.0039197,          0.00087723,           0.0020709,           0.0020709,           0.0020709
                  96,            0.012504,             0.00556,          0.00062272,             0.99335,               0.911,             0.94766,             0.78886,            0.014023,           0.0039374,          0.00091703,           0.0020492,           0.0020492,           0.0020492
                  97,            0.012272,           0.0053793,          0.00056389,             0.99444,             0.91216,             0.95545,             0.79015,            0.014058,           0.0039914,          0.00082229,           0.0020315,           0.0020315,           0.0020315
                  98,            0.012514,           0.0056233,          0.00059377,             0.99626,             0.96225,             0.98041,             0.80482,            0.013865,           0.0039159,          0.00075354,           0.0020178,           0.0020178,           0.0020178
                  99,             0.01211,           0.0054957,          0.00051875,              0.9649,             0.93715,              0.9759,             0.78741,            0.013607,           0.0038853,          0.00081119,           0.0020079,           0.0020079,           0.0020079
