               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.039053,            0.042922,            0.026456,             0.22587,             0.37473,             0.27575,             0.16631,            0.044096,            0.028175,            0.065026,           0.0047639,           0.0047639,           0.0047639
                  62,            0.038912,            0.043191,            0.025101,             0.28304,              0.3404,             0.28913,             0.17676,             0.04546,            0.029171,            0.058308,            0.004645,            0.004645,            0.004645
                  63,            0.038815,            0.043115,            0.025263,             0.24277,             0.33627,             0.26874,             0.16041,            0.043017,            0.027617,            0.064483,           0.0045275,           0.0045275,           0.0045275
                  64,            0.038314,            0.044672,            0.023635,              0.2233,             0.36122,              0.2668,             0.16552,            0.043644,            0.027934,            0.060704,           0.0044114,           0.0044114,           0.0044114
                  65,            0.037866,            0.043178,            0.022581,             0.27538,             0.37904,             0.30284,             0.18648,            0.043482,             0.02924,            0.059425,           0.0042969,           0.0042969,           0.0042969
                  66,            0.037541,            0.041715,            0.023478,             0.29182,             0.33979,             0.30469,             0.19076,            0.044634,             0.02847,             0.06442,            0.004184,            0.004184,            0.004184
                  67,            0.037057,            0.042172,            0.022373,             0.25972,             0.39164,             0.30066,             0.18395,            0.043755,            0.028851,            0.062344,            0.004073,            0.004073,            0.004073
                  68,            0.037488,            0.041885,            0.022066,             0.33022,             0.32727,             0.31911,             0.19632,            0.043216,            0.028438,            0.060387,           0.0039638,           0.0039638,           0.0039638
                  69,            0.037257,            0.041843,            0.021626,             0.28856,             0.39115,             0.29222,             0.18052,            0.044706,            0.028847,            0.059852,           0.0038567,           0.0038567,           0.0038567
                  70,            0.037111,            0.041737,            0.021287,             0.24951,             0.36832,              0.2781,             0.17073,             0.04443,            0.029101,            0.063048,           0.0037517,           0.0037517,           0.0037517
                  71,            0.036732,             0.04286,             0.02104,             0.22374,             0.38737,             0.26845,             0.16177,            0.044191,            0.028695,            0.060675,           0.0036489,           0.0036489,           0.0036489
                  72,            0.036449,            0.042206,            0.021051,             0.21067,             0.42442,             0.26861,             0.16525,            0.043732,            0.028941,            0.061453,           0.0035484,           0.0035484,           0.0035484
                  73,            0.036756,            0.041983,            0.020529,             0.32432,             0.31107,             0.29976,             0.18535,             0.04275,            0.028492,            0.059674,           0.0034503,           0.0034503,           0.0034503
                  74,            0.036017,            0.040712,            0.020429,             0.23566,             0.41077,             0.28226,             0.17326,            0.043582,            0.029979,            0.061585,           0.0033548,           0.0033548,           0.0033548
                  75,            0.035796,            0.040859,            0.019545,             0.28141,             0.35229,             0.28335,             0.17685,            0.044128,            0.029765,             0.06389,           0.0032618,           0.0032618,           0.0032618
                  76,              0.0352,            0.039554,            0.019371,             0.28702,             0.31187,              0.2772,             0.16829,            0.044534,            0.030221,            0.064222,           0.0031716,           0.0031716,           0.0031716
                  77,            0.035989,            0.039505,            0.019017,             0.27167,             0.40554,             0.31006,             0.19161,            0.044037,            0.030263,            0.061347,           0.0030841,           0.0030841,           0.0030841
